Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location
9305,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,,,,,,,,VAVOUA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,DANIA,,,,,,,DANIA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,SEITEFLA,,,,,,,SEITEFLA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,Vavoua,,,,,,,Vavoua
9312,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,Vavoua,Vavoua,,,,,,Vavoua
9306,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,,,,,,,,ZOUKOUGBEU
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,GREGBEU,,,,,,,GREGBEU
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,GUESSABO,,,,,,,GUESSABO
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,Zoukougbeu,,,,,,,Zoukougbeu
9313,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,Zoukougbeu,Zoukougbeu,,,,,,Zoukougbeu
9302,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,,,,,,,,,MARAHOUE
9314,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,,,,,,,,BOUAFLE
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,ZAGUIETA,,,,,,,ZAGUIETA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,PAKOUABO,,,,,,,PAKOUABO
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,TIBEITA,,,,,,,TIBEITA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bonon,,,,,,,Bonon
9317,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bonon,Bonon,,,,,,Bonon
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bouafle,,,,,,,Bouafle
9318,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bouafle,Bouafle,,,,,,Bouafle
9315,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,,,,,,,,SINFRA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,BAZRE,,,,,,,BAZRE
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,KONONFLA,,,,,,,KONONFLA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,KOUETINFLA,,,,,,,KOUETINFLA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,Sinfra,,,,,,,Sinfra
9319,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,Sinfra,Sinfra,,,,,,Sinfra
9316,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,,,,,,,,ZUENOULA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,VOUEBOUFLA,,,,,,,VOUEBOUFLA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,MAMINIGUI,,,,,,,MAMINIGUI
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Gohitafla,,,,,,,Gohitafla
9320,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Gohitafla,Gohitafla,,,,,,Gohitafla
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Zuenoula,,,,,,,Zuenoula
9321,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Zuenoula,Zuenoula,,,,,,Zuenoula
9200,Cote d`Ivoire,DISTRICT DES LACS,,,,,,,,,,DISTRICT DES LACS
9201,Cote d`Ivoire,DISTRICT DES LACS,BELIER,,,,,,,,,BELIER
9205,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,,,,,,,,DIDIEVI
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,MOLONOU-BLE,,,,,,,MOLONOU-BLE
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,BOLI,,,,,,,BOLI
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,RAVIART,,,,,,,RAVIART
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Didievi,,,,,,,Didievi
9209,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Didievi,Didievi,,,,,,Didievi
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Tie-N'Diekro,,,,,,,Tie-N'Diekro
9210,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Tie-N'Diekro,Tie-N'Diekro,,,,,,Tie-N'Diekro
9206,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,,,,,,,,DJEKANOU
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Bonikro,,,,,,,Bonikro
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Djekanou,,,,,,,Djekanou
9211,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Djekanou,Djekanou,,,,,,Djekanou
9207,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,,,,,,,,TIEBISSOU
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,LOMOKANKRO,,,,,,,LOMOKANKRO
